"Gene.Symbol","P.Value","adj.P.Val","logFC"
"A1BG",0.000366395434950968,0.00231246780750815,1.62111963765672
"A1CF",0.00247753305255079,0.0108981959871133,0.69977002835824
"A2M",0.562209088371356,0.685113690022384,-0.166422195279882
"A2ML1",0.0618991467437768,0.135718120700293,-0.419021288971182
"A4GALT",0.0604639381796906,0.133305846939994,-0.338329069833768
"AAAS",0.611966076355302,0.726578038325907,-0.0627966779843203
"AACS",0.843345098780746,0.89945953591262,0.033219519943487
"AADAC",1.206688673743e-05,0.000148367203632515,1.47107101949754
"AADAT",0.526600843371097,0.654623397010258,-0.179107223939242
"AAGAB",0.221553080413744,0.352861479365856,-0.173697437090138
"AAK1",0.000613127909988333,0.00352804302377047,-0.533050174928939
"AAMDC",0.963988806792195,0.977659279349632,-0.00638510846385699
"AAMP",0.000148644487852985,0.00110585513278546,-0.585718291082013
"AAR2",0.00561627186376927,0.0208514169985252,-0.29988372699915
"AARD",0.00661206489744328,0.0238025133712416,0.342163635393532
"AARS2",0.92715135743567,0.953572928361334,-0.0109078531203432
"AARSD1",0.438959095902795,0.577991363424017,-0.103052702108429
"AASDH",0.872745752150455,0.918444378375112,0.0171335718213365
"AASDHPPT",0.577160083605098,0.697907693428979,0.0763020926932284
"AASS",0.517097606402543,0.646174229306793,-0.135440500407809
"AATF",0.19516405184821,0.320808274614169,-0.166342302050175
"AATK",0.977490576735962,0.986049552318178,-0.00669803192812412
"ABAT",0.598979954194947,0.716035272619888,0.14813148148981
"ABC7-42404400C24.1",0.0640823960178191,0.139199129829281,-0.117044460492129
"ABCA1",0.755989201285751,0.836317825623972,0.0575882251307899
"ABCA2",0.311190776167262,0.452569548808896,-0.212577466243598
"ABCA3",0.0938117341006815,0.18671303561282,-0.369781533582492
"ABCA5",0.00286329359640188,0.0122142532497418,0.53564693166618
"ABCA6",0.000207084516072381,0.0014450290489781,0.622193047685093
"ABCA7",0.172225024623686,0.292286085346262,0.322414507840581
"ABCA8",0.0272561045010938,0.0722561472074606,0.382486880616588
"ABCA9",0.00314730612500007,0.0131433301825152,0.395612241487487
